"Effective federal funds rate (% p.a.), last business day of month",Wu-Xia shadow federal funds rate (last business day of month),,,
Jan-60,4,,,
Feb-60,4,,,
Mar-60,4,,,
Apr-60,4,,,
May-60,3.5,,,
Jun-60,3.5,,,
Jul-60,3.25,,,
Aug-60,3,,,
Sep-60,3,,,
Oct-60,2.75,,,
Nov-60,0.25,,,
Dec-60,3,,,
Jan-61,2.25,,,
Feb-61,2,,,
Mar-61,2,,,
Apr-61,0.5,,,
May-61,1,,,
Jun-61,0.5,,,
Jul-61,2.5,,,
Aug-61,1.75,,,
Sep-61,1.5,,,
Oct-61,2,,,
Nov-61,1.75,,,
Dec-61,2.5,,,
Jan-62,1.5,,,
Feb-62,2.75,,,
Mar-62,2.75,,,
Apr-62,2.5,,,
May-62,2.75,,,
Jun-62,2.75,,,
Jul-62,2.75,,,
Aug-62,3,,,
Sep-62,2.75,,,
Oct-62,3,,,
Nov-62,2.88,,,
Dec-62,3,,,
Jan-63,3,,,
Feb-63,3,,,
Mar-63,3,,,
Apr-63,3,,,
May-63,3,,,
Jun-63,3,,,
Jul-63,3.5,,,
Aug-63,3.5,,,
Sep-63,3.5,,,
Oct-63,3.5,,,
Nov-63,3.5,,,
Dec-63,3.25,,,
Jan-64,3.5,,,
Feb-64,3.5,,,
Mar-64,3.5,,,
Apr-64,3.5,,,
May-64,3.5,,,
Jun-64,3.5,,,
Jul-64,3.5,,,
Aug-64,3.5,,,
Sep-64,2.75,,,
Oct-64,3.5,,,
Nov-64,4,,,
Dec-64,4,,,
Jan-65,4,,,
Feb-65,4,,,
Mar-65,4,,,
Apr-65,4.13,,,
May-65,4.13,,,
Jun-65,4.13,,,
Jul-65,4.13,,,
Aug-65,4,,,
Sep-65,4.13,,,
Oct-65,4.13,,,
Nov-65,4.13,,,
Dec-65,4.63,,,
Jan-66,4.5,,,
Feb-66,4.63,,,
Mar-66,4.75,,,
Apr-66,4.63,,,
May-66,4.75,,,
Jun-66,5.5,,,
Jul-66,5.75,,,
Aug-66,4.5,,,
Sep-66,5.75,,,
Oct-66,5.75,,,
Nov-66,5.75,,,
Dec-66,5,,,
Jan-67,4,,,
Feb-67,4.75,,,
Mar-67,4.5,,,
Apr-67,4,,,
May-67,4.13,,,
Jun-67,3.5,,,
Jul-67,3.75,,,
Aug-67,4,,,
Sep-67,3.75,,,
Oct-67,4.13,,,
Nov-67,4.5,,,
Dec-67,4.5,,,
Jan-68,4.75,,,
Feb-68,4.75,,,
Mar-68,5.25,,,
Apr-68,6.25,,,
May-68,6.13,,,
Jun-68,5.5,,,
Jul-68,6,,,
Aug-68,5.75,,,
Sep-68,5.5,,,
Oct-68,6,,,
Nov-68,6,,,
Dec-68,4,,,
Jan-69,6.38,,,
Feb-69,7,,,
Mar-69,6.25,,,
Apr-69,8,,,
May-69,9.38,,,
Jun-69,7.5,,,
Jul-69,8.75,,,
Aug-69,9.75,,,
Sep-69,8.5,,,
Oct-69,9,,,
Nov-69,9.25,,,
Dec-69,5,,,
Jan-70,9.38,,,
Feb-70,8.5,,,
Mar-70,7.5,,,
Apr-70,8.5,,,
May-70,7.88,,,
Jun-70,5.75,,,
Jul-70,6.75,,,
Aug-70,6.5,,,
Sep-70,5,,,
Oct-70,6.13,,,
Nov-70,5.5,,,
Dec-70,3,,,
Jan-71,4,,,
Feb-71,3.38,,,
Mar-71,4.5,,,
Apr-71,4.25,,,
May-71,4.88,,,
Jun-71,4.75,,,
Jul-71,5.5,,,
Aug-71,5.75,,,
Sep-71,5.38,,,
Oct-71,5.13,,,
Nov-71,4.25,,,
Dec-71,3,,,
Jan-72,3.13,,,
Feb-72,3.25,,,
Mar-72,4,,,
Apr-72,4.31,,,
May-72,4.75,,,
Jun-72,4.5,,,
Jul-72,4.5,,,
Aug-72,5.13,,,
Sep-72,4.88,,,
Oct-72,4.88,,,
Nov-72,5.19,,,
Dec-72,5.5,,,
Jan-73,6.5,,,
Feb-73,7.5,,,
Mar-73,7.38,,,
Apr-73,7.63,,,
May-73,8.13,,,
Jun-73,8.88,,,
Jul-73,11.22,,,
Aug-73,11.22,,,
Sep-73,10.82,,,
Oct-73,10.61,,,
Nov-73,10.34,,,
Dec-73,9.83,,,
Jan-74,9.31,,,
Feb-74,8.87,,,
Mar-74,9.95,,,
Apr-74,11,,,
May-74,11.64,,,
Jun-74,13.31,,,
Jul-74,12.06,,,
Aug-74,11.6,,,
Sep-74,11.11,,,
Oct-74,9.66,,,
Nov-74,9.47,,,
Dec-74,3.87,,,
Jan-75,6.76,,,
Feb-75,6.07,,,
Mar-75,5.39,,,
Apr-75,7.03,,,
May-75,5.23,,,
Jun-75,5.97,,,
Jul-75,6.23,,,
Aug-75,6.13,,,
Sep-75,6.22,,,
Oct-75,5.65,,,
Nov-75,5.29,,,
Dec-75,5.37,,,
Jan-76,4.84,,,
Feb-76,4.89,,,
Mar-76,5.07,,,
Apr-76,5.1,,,
May-76,5.67,,,
Jun-76,5.71,,,
Jul-76,5.32,,,
Aug-76,5.31,,,
Sep-76,5.31,,,
Oct-76,5.02,,,
Nov-76,4.69,,,
Dec-76,4.17,,,
Jan-77,4.65,,,
Feb-77,4.73,,,
Mar-77,4.72,,,
Apr-77,5.12,,,
May-77,5.47,,,
Jun-77,5.64,,,
Jul-77,5.86,,,
Aug-77,6.03,,,
Sep-77,6.46,,,
Oct-77,6.6,,,
Nov-77,6.56,,,
Dec-77,6.53,,,
Jan-78,6.79,,,
Feb-78,6.83,,,
Mar-78,6.97,,,
Apr-78,7.25,,,
May-78,7.43,,,
Jun-78,8.01,,,
Jul-78,8,,,
Aug-78,8.4,,,
Sep-78,8.9,,,
Oct-78,9.35,,,
Nov-78,9.94,,,
Dec-78,10.84,,,
Jan-79,10.57,,,
